#TWS,TWA,V,VMG,Heel,Reef,Flat,AWS,AWA,Lee,Sail
12.0,60.0,7.295,3.648,21.3,1.000,0.966,16.45,36.1,3.24,Up
12.0,70.0,7.572,2.590,18.3,1.000,1.000,15.84,42.5,2.65,Up
12.0,80.0,7.714,1.339,13.9,1.000,1.000,15.09,49.5,2.09,Up
12.0,90.0,7.745,-0.000,10.4,1.000,1.000,14.12,56.7,1.66,Up
12.0,100.0,7.846,-1.362,19.5,1.000,1.000,12.54,62.7,2.13,Dn
12.0,110.0,7.879,-2.695,13.7,1.000,1.000,11.59,71.0,1.63,Dn
12.0,120.0,7.788,-3.894,9.3,1.000,1.000,10.41,80.1,1.23,Dn
12.0,130.0,7.605,-4.888,6.0,1.000,1.000,9.14,90.7,0.87,Dn
12.0,135.0,7.481,-5.290,4.7,1.000,1.000,8.52,96.8,0.72,Dn
12.0,140.0,7.334,-5.618,3.5,1.000,1.000,7.92,103.6,0.57,Dn
12.0,150.0,6.965,-6.032,1.6,1.000,1.000,6.91,119.7,0.32,Dn
12.0,158.7,6.571,6.123,0.9,1.000,1.000,6.34,136.6,0.19,Dn
12.0,160.0,6.514,-6.122,0.8,1.000,1.000,6.29,139.2,0.18,Dn
12.0,170.0,6.125,-6.032,0.3,1.000,1.000,6.06,159.9,0.09,Dn
12.0,180.0,5.814,-5.814,-0.0,1.000,1.000,6.19,180.0,-0.00,Dn
14.0,30.0,4.790,4.149,15.9,1.000,0.701,18.21,21.7,6.57,Up
14.0,33.0,5.451,4.572,17.7,1.000,0.697,18.66,22.9,5.40,Up
14.0,36.0,5.925,4.794,19.0,1.000,0.695,18.93,24.3,4.74,Up
14.0,39.0,6.286,4.885,20.1,1.000,0.700,19.06,25.7,4.34,Up
14.0,40.0,6.369,4.879,20.3,1.000,0.703,19.06,26.3,4.26,Up
14.0,42.0,6.564,4.878,20.9,1.000,0.708,19.09,27.3,4.06,Up
14.0,45.0,6.773,4.789,21.5,1.000,0.720,19.05,28.9,3.87,Up
14.0,50.0,7.033,4.521,22.2,1.000,0.750,18.86,31.8,3.64,Up
14.0,60.0,7.424,3.712,22.5,0.980,0.870,18.26,37.8,3.32,Up
14.0,70.0,7.740,2.647,22.5,0.973,1.000,17.45,44.1,3.03,Up
14.0,80.0,7.979,1.386,19.3,1.000,1.000,16.66,51.3,2.46,Up
14.0,90.0,8.075,-0.000,13.7,1.000,1.000,15.82,59.3,1.87,Up
14.0,100.0,8.046,-1.397,22.6,0.953,1.000,13.91,66.2,2.35,Dn
14.0,110.0,8.210,-2.808,19.6,1.000,1.000,12.86,74.6,1.92,Dn
14.0,120.0,8.203,-4.102,12.5,1.000,1.000,11.90,84.2,1.39,Dn
14.0,130.0,8.039,-5.167,7.8,1.000,1.000,10.67,95.2,0.98,Dn
14.0,135.0,7.922,-5.601,6.0,1.000,1.000,10.04,101.4,0.80,Dn
14.0,140.0,7.783,-5.962,4.5,1.000,1.000,9.44,108.2,0.63,Dn
14.0,150.0,7.433,-6.438,2.3,1.000,1.000,8.42,123.8,0.36,Dn
14.0,160.0,7.071,-6.644,1.1,1.000,1.000,7.74,141.8,0.21,Dn
14.0,166.8,6.868,6.686,0.7,1.000,1.000,7.48,154.7,0.13,Dn
14.0,170.0,6.780,-6.677,0.5,1.000,1.000,7.42,160.9,0.10,Dn
14.0,180.0,6.522,-6.522,-0.0,1.000,1.000,7.48,180.0,-0.00,Dn
16.0,30.0,4.892,4.237,17.9,1.000,0.606,20.24,22.1,6.86,Up
16.0,33.0,5.556,4.660,19.6,1.000,0.600,20.67,23.4,5.60,Up
16.0,36.0,6.026,4.875,20.8,1.000,0.599,20.91,24.9,4.91,Up
